Insertion,5000,29,4999,0
Insertion,10000,92,9999,0
Insertion,20000,82,19999,0
Insertion,40000,237,39999,0
Insertion,80000,737,79999,0
Insertion,160000,2832,159999,0
Quick,5000,6,2,1
Quick,10000,3,2,1
Quick,20000,11,2,1
Quick,40000,26,2,1
Quick,80000,71,2,1
Quick,160000,188,2,1
Merge,5000,84,0,0
Merge,10000,77,0,0
Merge,20000,169,0,0
Merge,40000,720,0,0
Merge,80000,1427,0,0
Merge,160000,8773,0,0
Insertion,5000,6,4999,0
Insertion,10000,18,9999,0
Insertion,20000,70,19999,0
Insertion,40000,214,39999,0
Insertion,80000,748,79999,0
Insertion,160000,3358,159999,0
Quick,5000,1,2,1
Quick,10000,8,2,1
Quick,20000,9,2,1
Quick,40000,20,2,1
Quick,80000,73,2,1
Quick,160000,209,2,1
Merge,5000,78,0,0
Merge,10000,106,0,0
Merge,20000,121,0,0
Merge,40000,455,0,0
Merge,80000,1520,0,0
Merge,160000,12086,0,0
Insertion,5000,6,4999,0
Insertion,10000,17,9999,0
Insertion,20000,69,19999,0
Insertion,40000,213,39999,0
Insertion,80000,835,79999,0
Insertion,160000,8789,159999,0
Quick,5000,4,2,1
Quick,10000,6,2,1
Quick,20000,13,2,1
Quick,40000,32,2,1
Quick,80000,121,2,1
Quick,160000,441,2,1
Merge,5000,106,0,0
Merge,10000,331,0,0
Merge,20000,782,0,0
Merge,40000,647,0,0
Merge,80000,2380,0,0
Merge,160000,12346,0,0
Insertion,5000,6,4999,0
Insertion,10000,14,9999,0
Insertion,20000,71,19999,0
Insertion,40000,216,39999,0
Insertion,80000,827,79999,0
Insertion,160000,3528,159999,0
Quick,5000,2,2,1
Quick,10000,4,2,1
Quick,20000,9,2,1
Quick,40000,23,2,1
Quick,80000,125,2,1
Quick,160000,261,2,1
Merge,5000,31,0,0
Merge,10000,31,0,0
Merge,20000,207,0,0
Merge,40000,603,0,0
Merge,80000,1713,0,0
Merge,160000,11538,0,0
Insertion,5000,7,4999,0
Insertion,10000,16,9999,0
Insertion,20000,74,19999,0
Insertion,40000,206,39999,0
Insertion,80000,842,79999,0
Insertion,160000,4204,159999,0
Quick,5000,3,2,1
Quick,10000,4,2,1
Quick,20000,6,2,1
Quick,40000,26,2,1
Quick,80000,74,2,1
Quick,160000,192,2,1
Merge,5000,75,0,0
Merge,10000,127,0,0
Merge,20000,366,0,0
Merge,40000,406,0,0
Merge,80000,1809,0,0
Merge,160000,11946,0,0
Insertion,5000,6,4999,0
Insertion,10000,21,9999,0
Insertion,20000,86,19999,0
Insertion,40000,375,39999,0
Insertion,80000,1579,79999,0
Insertion,160000,3525,159999,0
Quick,5000,1,2,1
Quick,10000,4,2,1
Quick,20000,9,2,1
Quick,40000,23,2,1
Quick,80000,98,2,1
Quick,160000,196,2,1
Merge,5000,26,0,0
Merge,10000,69,0,0
Merge,20000,121,0,0
Merge,40000,475,0,0
Merge,80000,1803,0,0
Merge,160000,13154,0,0
Insertion,5000,14,4999,0
Insertion,10000,39,9999,0
Insertion,20000,145,19999,0
Insertion,40000,486,39999,0
Insertion,80000,1046,79999,0
Insertion,160000,3834,159999,0
Quick,5000,1,2,1
Quick,10000,4,2,1
Quick,20000,8,2,1
Quick,40000,27,2,1
Quick,80000,76,2,1
Quick,160000,196,2,1
Merge,5000,69,0,0
Merge,10000,136,0,0
Merge,20000,130,0,0
Merge,40000,449,0,0
Merge,80000,1796,0,0
Merge,160000,10797,0,0
Insertion,5000,5,4999,0
Insertion,10000,19,9999,0
Insertion,20000,79,19999,0
Insertion,40000,248,39999,0
Insertion,80000,972,79999,0
Insertion,160000,3730,159999,0
Quick,5000,2,2,1
Quick,10000,3,2,1
Quick,20000,10,2,1
Quick,40000,21,2,1
Quick,80000,71,2,1
Quick,160000,234,2,1
Merge,5000,71,0,0
Merge,10000,182,0,0
Merge,20000,134,0,0
Merge,40000,410,0,0
Merge,80000,1697,0,0
Merge,160000,13963,0,0
Insertion,5000,5,4999,0
Insertion,10000,16,9999,0
Insertion,20000,70,19999,0
Insertion,40000,203,39999,0
Insertion,80000,770,79999,0
Insertion,160000,3484,159999,0
Quick,5000,3,2,1
Quick,10000,3,2,1
Quick,20000,8,2,1
Quick,40000,25,2,1
Quick,80000,82,2,1
Quick,160000,258,2,1
Merge,5000,13,0,0
Merge,10000,54,0,0
Merge,20000,248,0,0
Merge,40000,1013,0,0
Merge,80000,3423,0,0
Merge,160000,16153,0,0
Insertion,5000,8,4999,0
Insertion,10000,21,9999,0
Insertion,20000,80,19999,0
Insertion,40000,243,39999,0
Insertion,80000,954,79999,0
Insertion,160000,4074,159999,0
Quick,5000,1,2,1
Quick,10000,3,2,1
Quick,20000,9,2,1
Quick,40000,27,2,1
Quick,80000,98,2,1
Quick,160000,249,2,1
Merge,5000,24,0,0
Merge,10000,85,0,0
Merge,20000,286,0,0
Merge,40000,1163,0,0
Merge,80000,3764,0,0
Merge,160000,12464,0,0
Insertion,5000,112,4999,0
Insertion,10000,260,9999,0
Insertion,20000,229,19999,0
Insertion,40000,425,39999,0
Insertion,80000,1232,79999,0
Insertion,160000,6709,159999,0
Quick,5000,6,2,1
Quick,10000,25,2,1
